Station id,Baseline Tree depth,Baseline Min samples split,Baseline Min samples leaf,Baseline Feature ratio,Modified Tree depth,Modified Min samples split,Modified Min samples leaf,Modified Feature ratio
6614800,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
6622700,8,4,4,0.6330242596481994,7,3,2,0.6353094161003328
6632400,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
6623800,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
6784000,5,2,3,0.5282532043662949,8,7,2,0.6265998724541788
6746095,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
6803510,5,2,3,0.5282532043662949,2,3,4,0.6761429142764176
6803530,5,8,3,0.7358192915830861,2,3,4,0.6761429142764176
6814000,8,4,4,0.6330242596481994,3,8,2,0.5835899076556831
6847900,5,8,3,0.7358192915830861,2,3,4,0.6761429142764176
6853800,5,8,3,0.7358192915830861,3,8,2,0.5835899076556831
6876700,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
6879650,5,2,3,0.5282532043662949,3,8,2,0.5835899076556831
6878000,5,8,3,0.7358192915830861,5,6,2,0.5060088760622651
6885500,5,2,3,0.5282532043662949,2,3,4,0.6761429142764176
6888500,5,2,3,0.5282532043662949,5,6,2,0.5060088760622651
6889200,5,2,3,0.5282532043662949,2,3,4,0.6761429142764176
6889500,5,8,3,0.7358192915830861,8,3,4,0.5791076592435124
6892000,5,8,3,0.7358192915830861,8,7,2,0.6265998724541788
6903400,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
6910800,5,2,3,0.5282532043662949,3,8,2,0.5835899076556831
6911900,2,7,3,0.7575793759734148,3,8,2,0.5835899076556831
6917000,2,7,3,0.7575793759734148,8,7,2,0.6265998724541788
6918460,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
6919500,8,4,4,0.6330242596481994,7,3,2,0.6353094161003328
6921070,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
6921200,2,7,3,0.7575793759734148,8,3,4,0.5791076592435124
7014500,5,8,3,0.7358192915830861,7,3,2,0.6353094161003328
7056000,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
7057500,8,4,4,0.6330242596481994,8,7,2,0.6265998724541788
7060710,7,5,1,0.6351157813686702,7,3,2,0.6353094161003328
7066000,5,2,3,0.5282532043662949,8,7,2,0.6265998724541788
7067000,8,4,4,0.6330242596481994,7,3,2,0.6353094161003328
7068000,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
7071500,5,4,1,0.6931595360241993,7,3,2,0.6353094161003328
7083000,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
7145700,5,4,1,0.6931595360241993,5,6,2,0.5060088760622651
7142300,5,4,1,0.6931595360241993,8,7,2,0.6265998724541788
7148400,2,7,3,0.7575793759734148,2,3,4,0.6761429142764176
7149000,8,4,4,0.6330242596481994,8,7,2,0.6265998724541788
7167500,2,7,3,0.7575793759734148,3,8,2,0.5835899076556831
7151500,5,4,1,0.6931595360241993,7,3,2,0.6353094161003328
7180500,5,4,1,0.6931595360241993,3,8,2,0.5835899076556831
7184000,5,2,3,0.5282532043662949,7,3,2,0.6353094161003328
7195800,5,2,3,0.5282532043662949,3,8,2,0.5835899076556831
7196900,8,4,4,0.6330242596481994,5,6,2,0.5060088760622651
